Gene,PC1_Loading,PC2_Loading,PC1_Abs
gene_6933,-0.002708942936929596,-0.001962939949333215,0.002708942936929596
gene_9081,-0.002671342030861859,0.0011025914173624465,0.002671342030861859
gene_11751,0.003990641302694953,-0.006690687756402111,0.003990641302694953
gene_14634,-0.0008543381769952705,0.0007859411333465193,0.0008543381769952705
gene_17545,-0.011283906224059843,-0.015483879594355616,0.011283906224059843
gene_2147,0.005301149019041466,0.003170480992035324,0.005301149019041466
gene_19937,0.0010685378797022057,-0.025755657377252793,0.0010685378797022057
gene_13815,-0.019736547356873278,0.0067756793817969055,0.019736547356873278
gene_5586,-6.791360033406683e-05,0.002429450202929455,6.791360033406683e-05
gene_11716,0.00040231953233982196,0.00039753918132700227,0.00040231953233982196
gene_17843,0.007938028466107073,-0.011352531581818164,0.007938028466107073
gene_1423,-0.0001399656129400728,0.0009467015904423492,0.0001399656129400728
gene_9836,0.006358506931906141,-0.016525952226159192,0.006358506931906141
gene_14661,0.0011790615661390312,-6.574488454971052e-05,0.0011790615661390312
gene_19397,0.0015714588355580856,0.0025617974789424558,0.0015714588355580856
gene_7899,0.002597651548751355,0.000498602085427904,0.002597651548751355
gene_12290,0.0015131401489698474,0.0004897976085551908,0.0015131401489698474
gene_4949,-0.008327105228775326,-0.0028544007028033307,0.008327105228775326
gene_14338,0.012813835845168969,-0.01738218591499022,0.012813835845168969
gene_1018,-0.0007975399883882268,0.0011643571951663908,0.0007975399883882268
gene_11704,-0.0018050282839463712,0.0013443363866511978,0.0018050282839463712
gene_13654,-0.005270266918104378,0.006845796149038803,0.005270266918104378
gene_1035,0.0019402379154108908,0.00026501603971360244,0.0019402379154108908
gene_19386,0.00443919951771626,0.00035147471378159346,0.00443919951771626
gene_11505,-0.0016897446147705378,0.0016880862690095973,0.0016897446147705378
gene_9220,0.0004060297340906589,9.260250786478479e-05,0.0004060297340906589
gene_19403,-0.00045930262139567355,-0.0008100748819551134,0.00045930262139567355
gene_16962,-3.4923542798947206e-05,9.431084303663765e-05,3.4923542798947206e-05
gene_6269,-0.00042891957458796704,0.00018519677361398843,0.00042891957458796704
gene_14396,-0.03309556315979685,-0.023716823824110386,0.03309556315979685
gene_8202,-0.001987782935358423,0.005319108379724065,0.001987782935358423
gene_11786,-0.0016258095294612504,0.0012292294462968693,0.0016258095294612504
gene_3846,0.004180046652860212,-0.0054553513228601715,0.004180046652860212
gene_689,-0.002188213199921396,0.00029412645657593203,0.002188213199921396
gene_13629,-9.844858198731268e-05,0.0049212242645737545,9.844858198731268e-05
gene_8555,0.0036507155292260125,-0.00270229719655291,0.0036507155292260125
gene_7376,-0.008381147620794957,-0.013816046956720044,0.008381147620794957
gene_20302,-0.001784175615275436,0.0007355581359876727,0.001784175615275436
gene_17410,-0.0066798161049624015,-0.005740140186035858,0.0066798161049624015
gene_20391,0.0004340932374867183,-0.0013841125507801596,0.0004340932374867183
gene_1641,0.000903406919022702,-0.0009527650170545818,0.000903406919022702
gene_7209,0.0012659158733769626,-0.0019613948455808896,0.0012659158733769626
gene_14603,-0.001034637094404971,-0.00010567155415307083,0.001034637094404971
gene_12922,0.011074790187721117,-0.00870690715117632,0.011074790187721117
gene_15790,-0.007128867187244682,-0.00655605161340705,0.007128867187244682
gene_7188,0.0012312367628571613,-0.01186003211906928,0.0012312367628571613
gene_16185,0.00034091448496913765,0.0002303046111830274,0.00034091448496913765
gene_15769,0.0008316222403876967,2.269669145741719e-05,0.0008316222403876967
gene_802,0.00015356444964805986,2.738771574743871e-05,0.00015356444964805986
gene_17660,-0.0023518056475134207,0.0010442885892270504,0.0023518056475134207
gene_18282,0.019078048040978155,-0.011288241323913172,0.019078048040978155
gene_18966,-0.0018400216742339394,-2.1076280447318362e-05,0.0018400216742339394
gene_12166,-0.017892653156580157,-0.02374783889822112,0.017892653156580157
gene_11116,0.006955252051775998,-0.004528430704008065,0.006955252051775998
gene_5464,-0.0015170137100983128,-0.000745416342091057,0.0015170137100983128
gene_7616,0.0007540743000630446,-0.0012685883608207628,0.0007540743000630446
gene_11869,-0.0008536013970775625,0.0018909298853140633,0.0008536013970775625
gene_5835,0.038447577043406234,0.030347345518610156,0.038447577043406234
gene_14036,0.011019261022368398,-0.01910184642282004,0.011019261022368398
gene_2957,-0.005840094766888214,-0.008435030348922687,0.005840094766888214
gene_5500,-0.0011772152691687794,0.0004491280828862189,0.0011772152691687794
gene_18710,0.002067220847510187,0.001294636986298518,0.002067220847510187
gene_1821,0.0020862123323975427,-0.00533614683584766,0.0020862123323975427
gene_13725,-0.000663392422080346,0.004408522532670901,0.000663392422080346
gene_3754,0.021327875732863995,0.0016012330681247251,0.021327875732863995
gene_8628,0.004149930156347816,0.00170698534896874,0.004149930156347816
gene_1354,0.00070225600547774,-0.00033979237052025597,0.00070225600547774
gene_14738,-0.0006636171561088424,-0.000901085858165837,0.0006636171561088424
gene_15212,0.0007171998279292976,-0.00019228098291772022,0.0007171998279292976
gene_9093,0.007999316285249868,0.0024206037385099007,0.007999316285249868
gene_6416,0.0016208128242028073,-0.0032387709855580694,0.0016208128242028073
gene_1479,-0.0064974237195031485,-0.002811324028357874,0.0064974237195031485
gene_10628,0.00028071504844780535,-0.00024503168304667265,0.00028071504844780535
gene_6681,0.003776561788593536,-0.003146448037271734,0.003776561788593536
gene_19235,-0.0001297966669519449,-0.0006069196623822671,0.0001297966669519449
gene_3965,-0.0014073678962806023,0.006811515400329771,0.0014073678962806023
gene_3520,0.00043471102826619695,0.006820349826688476,0.00043471102826619695
gene_13410,-0.000881827774415156,-0.00041782813488328594,0.000881827774415156
gene_15411,0.0038570137383938555,0.0012685696223121343,0.0038570137383938555
gene_14463,0.00276925689881902,-0.002884250749138353,0.00276925689881902
gene_3132,0.001518976165303139,-0.0016814613103505154,0.001518976165303139
gene_87,0.022485864364258517,0.00458373162685934,0.022485864364258517
gene_10938,2.2043928244940452e-05,0.00023655507493441517,2.2043928244940452e-05
gene_14041,-0.010848883838112612,-0.001096802840823964,0.010848883838112612
gene_6312,0.0043777987139898755,-8.836312636359027e-05,0.0043777987139898755
gene_7475,0.004588840009185481,0.014935537046227127,0.004588840009185481
gene_13544,0.0004618486455927088,0.008137605150943006,0.0004618486455927088
gene_9113,-0.011295182364907874,0.0007267816477221809,0.011295182364907874
gene_14694,-0.003189298168371413,0.0017054003834502175,0.003189298168371413
gene_1478,-0.000956626009681763,0.0005353057304920198,0.000956626009681763
